,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source,Table_S1_Zazzeri,Table_S2_Zazzeri,RX_RADD_ENSI_RIFE,RX_Group,EF_Zazzeri [TBq GWa^-1],H_yr,Emissions [TBq yr^-1]
0,ARGENTINA,ATUCHA-1,PHWR,Operational,1974,947.5,4458.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.17318353904632608
1,ARGENTINA,ATUCHA-1,PHWR,Operational,1975,2357.8,7730.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.43095741252076797
2,ARGENTINA,ATUCHA-1,PHWR,Operational,1976,2408.6,7808.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8784,0.43903976046728677
3,ARGENTINA,ATUCHA-1,PHWR,Operational,1977,1537.0,4650.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.28093203114955484
4,ARGENTINA,ATUCHA-1,PHWR,Operational,1978,2711.81,8026.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.49566316941553296
5,ARGENTINA,ATUCHA-1,PHWR,Operational,1979,2503.7,7551.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.4576249358419911
6,ARGENTINA,ATUCHA-1,PHWR,Operational,1980,2180.5,6947.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8784,0.39746167802828153
7,ARGENTINA,ATUCHA-1,PHWR,Operational,1981,2647.6,8120.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.48392690024174445
8,ARGENTINA,ATUCHA-1,PHWR,Operational,1982,1753.6,5600.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.320522062344736
9,ARGENTINA,ATUCHA-1,PHWR,Operational,1983,2356.0,8101.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.4306284094914451
