Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source,Table_S1_Zazzeri,Table_S2_Zazzeri,RX_RADD_ENSI_RIFE,RX_Group,EF_Zazzeri [TBq GWa^-1],H_yr,Emissions [TBq yr^-1],Comment,Emissions [GBq yr^-1],Origin,Latitude,Longitude
ARGENTINA,ATUCHA-1,PHWR,Operational,1974,947.5,4458.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.173183539046326,,173.059361,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,1975,2357.8,7730.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.4309574125207679,,430.648402,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,1976,2408.6,7808.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8784,0.4390397604672867,,439.926941,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,1977,1537.0,4650.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.2809320311495548,,280.730594,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,1978,2711.81,8026.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.4956631694155329,,495.307763,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,1979,2503.7,7551.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.4576249358419911,,457.296804,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,1980,2180.5,6947.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8784,0.3974616780282815,,398.26484,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,1981,2647.6,8120.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.4839269002417444,,483.579909,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,1982,1753.6,5600.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.320522062344736,,320.292237,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
ARGENTINA,ATUCHA-1,PHWR,Operational,1983,2356.0,8101.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=3,Atucha 1,,,Atucha 1-2,1.601148076037801,8760,0.4306284094914451,,430.319635,Table S1 Zazzeri et al. 2018,-33.9633333333333,-59.1863888888889
