name,latitude,longitude,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Doel 1-4,51.32472,4.25861,166.239529,174.18355,157.87006,162.941819,168.961743,174.824329,139.772241,158.951321,107.735712,85.737792,169.689206,158.5428611,91.36225599,160.0703847,147.7768323,176.2781808,170.420274
Tihange 1-3,50.53472,5.2725,173.706017,177.56503,174.744164,181.953819,181.832153,177.6096,155.297512,152.745907,138.462845,104.702438,148.133395,149.527666,117.5463381,157.4673238,103.6125722,191.6530959,149.8108164
Kozloduy,43.746111,23.770556,139.265096,105.055617,113.085786,109.076724,145.32,76.2,56.3,49.8,42.7,62.6,66.3,48.3,56.0,59.9,168.28,94.1,94.1
Dukovany,49.085,16.148889,208.32,162.68,192.08,210.28,187.32,210.56,210.0,221.48,192.08,206.64,161.56,177.24,203.28,186.76,182.84,185.08,31.0
Temelin,49.18,14.376111,157.08,141.12,123.76,132.16,138.6,350.0,241.08,201.88,204.4,163.52,155.68,156.52,140.56,159.88,142.24,133.56,139.16
Olkiluoto,61.236944,21.440833,770.0,1080.0,876.0,779.0,711.0,812.0,878.0,795.0,839.0,1070.0,1230.0,1020.0,931.0,644.0,650.0,543.0,543.0
Loviisa,60.372222,26.347222,40.6,67.76,92.12,93.8,90.72,90.72,94.64,129.64,111.72,116.2,110.04,99.4,99.68,96.88,103.88,105.0,105.0
La Hague,49.678333,-1.879444,14200.0,13200.0,13500.0,14500.0,16000.0,14500.0,16300.0,20500.0,21900.0,20200.0,19100.0,16600.0,18200.0,18200.0,17100.0,16200.0,14100.0
Gravelines,51.015278,2.136111,257.32,253.4,252.0,50.4,244.44,251.16,213.36,235.2,227.64,251.16,209.44,280.0,313.6,285.6,195.72,369.6,358.4
Paluel,49.858056,0.635556,229.88,187.32,247.8,196.56,219.8,253.4,226.52,231.84,254.24,203.0,129.92,169.4,161.0,225.68,225.68,261.8,278.32
Dampierre,47.733056,2.516667,166.04,162.12,165.2,155.4,166.88,165.2,155.12,15.708,156.24,171.64,162.4,250.04,238.56,217.0,211.96,271.04,232.68
Blayais,45.255833,-0.693056,177.8,180.6,185.64,143.64,176.4,174.16,160.72,159.04,154.28,133.0,162.12,154.28,219.52,211.4,282.8,296.8,227.64
Cruas,44.633056,4.756667,155.4,130.48,153.44,157.92,154.84,169.68,155.68,172.2,152.04,146.72,156.52,186.48,226.24,203.28,150.08,162.68,129.36
Chinon B,47.2325,0.1703,161.84,155.96,164.08,129.36,139.44,171.64,179.48,142.8,168.84,161.28,156.24,152.6,159.32,190.4,187.88,232.96,322.0
Cattenom,49.415833,6.218056,229.32,250.6,234.92,229.04,234.64,229.88,203.56,202.44,241.92,243.32,213.08,194.6,236.6,182.56,189.84,185.64,186.76
Tricastin,44.329722,4.732222,167.72,180.32,75.32,153.72,171.36,150.36,160.16,166.32,163.8,167.72,138.88,129.64,126.84,155.96,114.8,88.2,144.48
St Laurent B,47.72,1.5775,86.8,82.88,90.44,83.44,90.44,75.32,87.64,54.88,82.04,71.12,81.76,92.12,81.2,155.96,48.16,41.16,65.24
St Alban,45.404444,4.755278,109.76,111.72,79.52,116.2,126.28,109.76,118.44,115.36,114.24,122.36,114.8,52.08,164.64,143.92,103.88,105.0,146.16
Penly,49.976667,1.211944,129.36,119.56,134.4,118.72,110.6,118.44,117.04,127.96,103.32,128.8,120.68,135.24,176.12,135.8,145.32,216.16,206.36
Bugey B,45.798333,5.270833,172.2,157.64,168.0,140.28,108.36,140.56,179.48,141.96,162.68,168.56,98.84,122.92,166.32,130.76,101.64,100.8,117.04
Golfech,44.106667,0.845278,119.56,129.36,113.4,130.48,119.28,124.32,105.28,127.4,99.96,124.88,131.88,106.12,89.04,118.72,66.08,101.36,96.88
